Name,Gender,Institution,Category,Subcategory,h-index,Year
Luisa Chiesa,Female,Miami University,University,Other,22,2010
Samantha Daly,Female,University of Michigan,University,State/Public,16,2010
Yuantao Ding,Unknown,SLAC National Accelerator Laboratory,National Lab,,N/A,2010
David Erickson,Male,Cornell University,University,Ivy League,68,2010
Amir Farbin,Male,"University of Texas, Arlington",University,Other,N/A,2010
Daniel Fredrickson,Male,University of Wisconsin,University,Other,28,2010
Andrew Gaunt,Male,Los Alamos National Laboratory,National Lab,,N/A,2010
Adrian Gozar,Male,Brookhaven National Laboratory,National Lab,,25,2010
William Gustafson,Male,Pacific Northwest National Laboratory,National Lab,,35,2010
Valerie Halyo,Female,University of Colorado,University,Other,N/A,2010
Michael Hermele,Male,University of Colorado,University,Other,37,2010
